surface,aperture_radius_m,weighting,reception_ratio
baseline,149.5,projected,0.008062204990553875
baseline,149.5,equal_panel,0.008027830573677392
work,149.5,projected,0.011343513342727199
work,149.5,equal_panel,0.011353023331533986
baseline,150.0,projected,0.008007922973271171
baseline,150.0,equal_panel,0.007971412864211104
work,150.0,projected,0.011268261393116544
work,150.0,equal_panel,0.011273717348762018
baseline,150.5,projected,0.007955010168148717
baseline,150.5,equal_panel,0.007916384072674263
work,150.5,projected,0.011193215451329848
work,150.5,equal_panel,0.011194534251050456
