surface,subdivision,reception_ratio,received_weight,total_weight,included_samples
baseline,2,0.015589453962496079,1102.1689331299683,70699.64963375128,5515
baseline,4,0.010061525242336012,711.0397048720004,70669.17666519876,22048
baseline,8,0.007869936098302334,556.2670342060167,70682.53506226206,88211
baseline,16,0.008007922973271171,566.082458222999,70690.29761056243,352886
baseline,32,0.008111064065929768,573.333067465154,70685.30870979295,1411437
baseline,64,0.008110121909750934,573.267268414187,70685.40704979272,5645761
work,2,0.026595216266453982,1879.718068827724,70678.80366134553,5509
work,4,0.012568001676633899,888.1347112476849,70666.3425179901,22030
work,8,0.007815744765068891,552.4206552911113,70680.48815514795,88141
work,16,0.011268261393116544,796.4989674986668,70685.16958483277,352590
work,32,0.010766959190399664,761.0777025980987,70686.41100420553,1410385
work,64,0.010752984374954004,760.0763670278028,70685.15497875947,5641442
