enterprise_id,rank,risk_increasing_feature,shap_risk_direction
E113,1,sales_signed_amount_asinh,0.8068652333070834
E113,2,sales_recent12_log,0.4495843754460414
E113,3,sales_positive_amount_log,0.386978667229414
E101,1,sales_signed_amount_asinh,0.786070126419266
E101,2,sales_recent12_log,0.4437244137128194
E101,3,sales_positive_amount_log,0.3792068772017956
E120,1,sales_signed_amount_asinh,0.941817778473099
E120,2,sales_recent12_log,0.4700224796930949
E120,3,sales_positive_amount_log,0.4002801589667797
E119,1,sales_signed_amount_asinh,1.0239861253648996
E119,2,sales_recent12_log,0.5644713491201401
E119,3,sales_positive_amount_log,0.47125387548779446
E115,1,sales_signed_amount_asinh,0.7214413465311129
E115,2,sales_recent12_log,0.4226814017941554
E115,3,sales_positive_amount_log,0.4085959109167258
E123,1,sales_signed_amount_asinh,0.8538274349023898
E123,2,sales_recent12_log,0.44550190431376296
E123,3,sales_positive_amount_log,0.4085959109167258
E117,1,sales_signed_amount_asinh,0.7475650490572054
E117,2,sales_recent12_log,0.44112170798083145
E117,3,sales_positive_amount_log,0.37144165361920994
E108,1,sales_signed_amount_asinh,0.999426151936253
E108,2,sales_recent12_log,0.5319992067913215
E108,3,sales_positive_amount_log,0.4188968054950237
E110,1,sales_signed_amount_asinh,0.8770024012774229
E110,2,sales_recent12_log,0.5028441970547041
E110,3,sales_positive_amount_log,0.49433433947463834
E107,1,sales_signed_amount_asinh,0.7212516249467928
E107,2,sales_positive_amount_log,0.3464464756349723
E107,3,sales_top5_share,0.33057698979973793
E112,1,sales_signed_amount_asinh,0.4861490906526645
E112,2,sales_recent12_log,0.4580780863761902
E112,3,sales_top5_share,0.31915299966931343
E104,1,sales_signed_amount_asinh,0.9027906650056441
E104,2,sales_positive_amount_log,0.39674360677599907
E104,3,sales_top5_share,0.27864473002652324
E109,1,sales_signed_amount_asinh,0.9517577532678843
E109,2,sales_positive_amount_log,0.39036988156537217
E109,3,sales_monthly_cv_log,0.12174817423025769
E99,1,sales_top5_share,0.33583789442976314
E99,2,sales_hhi,0.3182719573378563
E99,3,sales_recent12_log,0.24369093775749207
E122,1,sales_signed_amount_asinh,1.008789927388231
E122,2,sales_recent12_log,0.6010912470519543
E122,3,sales_positive_amount_log,0.5003406340256333
