时间_s,实验温度_C,模型温度_C,残差_C
0.0,37.0,37.0,0.0
1.0,37.0,37.00000000596691,5.966910521237878e-09
2.0,37.0,37.00000007075066,7.075065866501973e-08
3.0,37.0,37.00000043865433,4.3865433241307983e-07
4.0,37.0,37.00000189607204,1.8960720424843203e-06
5.0,37.0,37.000006425930046,6.425930045850237e-06
6.0,37.0,37.00001820592959,1.8205929592340908e-05
7.0,37.0,37.00004489564747,4.489564746990027e-05
8.0,37.0,37.00009906259473,9.906259472813872e-05
9.0,37.0,37.0001995386394,0.00019953863940003203
10.0,37.0,37.00037249385415,0.00037249385415094594
11.0,37.0,37.00065206067043,0.0006520606704327747
12.0,37.0,37.001080417754444,0.0010804177544443405
13.0,37.0,37.00170732648639,0.0017073264863896043
14.0,37.0,37.002589183973114,0.002589183973114473
15.0,37.0,37.00378770431747,0.003787704317467444
16.0,37.01,37.00536836195972,-0.004631638040279995
17.0,37.01,37.007398730813705,-0.002601269186293109
18.0,37.01,37.00994683709435,-5.316290565104964e-05
19.0,37.01,37.01307961910925,0.0030796191092505865
20.0,37.02,37.01686155975526,-0.0031384402447400817
21.0,37.02,37.02135353122702,0.0013535312270178679
22.0,37.03,37.02661186900775,-0.0033881309922492164
23.0,37.03,37.032687674659144,0.002687674659142658
24.0,37.04,37.03962633435428,-0.00037366564571783556
25.0,37.05,37.0474672320031,-0.002532767996896723
26.0,37.06,37.05624363140761,-0.003756368592391368
27.0,37.07,37.06598270029241,-0.004017299707591349
28.0,37.08,37.07670564947173,-0.00329435052827165
29.0,37.09,37.088427962149446,-0.001572037850557706
30.0,37.1,37.10115969085906,0.0011596908590618682
31.0,37.12,37.1149058024259,-0.00509419757409546
32.0,37.13,37.129666554289564,-0.00033344571043869564
33.0,37.15,37.14543788836979,-0.004562111630207255
34.0,37.16,37.16221183127944,0.0022118312794461303
35.0,37.18,37.17997689202409,-2.310797591320579e-05
36.0,37.2,37.19871845035744,-0.0012815496425631068
37.0,37.22,37.218419130687685,-0.0015808693123133821
38.0,37.24,37.239059157871225,-0.0009408421287773194
39.0,37.26,37.26061669241347,0.0006166924134731744
40.0,37.28,37.28306814355261,0.003068143552610536
41.0,37.31,37.30638845946214,-0.0036115405378609466
42.0,37.33,37.3305513944015,0.0005513944015049788
43.0,37.36,37.355529753097805,-0.004470246902194219
44.0,37.38,37.381295612982754,0.0012956129827514928
45.0,37.41,37.407820525153376,-0.0021794748466206215
46.0,37.44,37.43507569509631,-0.004924304903688892
47.0,37.46,37.463032144325986,0.0030321443259850867
48.0,37.49,37.49166085414931,0.001660854149307056
49.0,37.52,37.520932892796715,0.0009328927967118261
50.0,37.55,37.55081952715654,0.0008195271565440976
51.0,37.58,37.581292320327385,0.0012923203273871309
52.0,37.61,37.61232321616446,0.002323216164462849
53.0,37.65,37.64388461194672,-0.006115388053281379
54.0,37.68,37.67594942023488,-0.004050579765120688
55.0,37.71,37.7084911209294,-0.001508879070598823
56.0,37.74,37.741483804473894,0.0014838044738922918
57.0,37.78,37.77490220708577,-0.005097792914227739
58.0,37.81,37.80872173883154,-0.001278261168465633
59.0,37.85,37.8429185053033,-0.007081494696699053
60.0,37.88,37.877469323592315,-0.002530676407687338
61.0,37.91,37.912351733198705,0.0023517331987079615
62.0,37.95,37.94754400246245,-0.0024559975375524346
63.0,37.99,37.983025131049125,-0.006974868950877067
64.0,38.02,38.01877484897679,-0.0012251510232133
65.0,38.06,38.05477361262524,-0.005226387374761998
66.0,38.09,38.09100259812742,0.0010025981274139895
67.0,38.13,38.12744369250505,-0.002556307494955945
68.0,38.17,38.16407948287389,-0.005920517126114078
69.0,38.2,38.20089324401288,0.0008932440128788244
70.0,38.24,38.237868924560075,-0.002131075439926633
71.0,38.28,38.27499113207192,-0.005008867928083305
72.0,38.32,38.312245117156635,-0.007754882843364896
73.0,38.35,38.34961675687003,-0.00038324312997417564
74.0,38.39,38.38709253754064,-0.002907462459361909
75.0,38.43,38.424659537173035,-0.005340462826964654
76.0,38.47,38.46230540755967,-0.007694592440330439
77.0,38.5,38.50001835621736,1.8356217360349092e-05
78.0,38.54,38.537787128249064,-0.002212871750934653
79.0,38.58,38.5756009882202,-0.004399011779796069
80.0,38.62,38.613449702125926,-0.0065502978740710205
81.0,38.65,38.65132351951613,0.0013235195161342972
82.0,38.69,38.68921315583589,-0.0007868441641107893
83.0,38.73,38.72710977502952,-0.0028902249704785277
84.0,38.77,38.76500497245053,-0.004995027549476561
85.0,38.81,38.802890758111246,-0.007109241888755946
86.0,38.84,38.84075954030149,0.0007595403014875046
87.0,38.88,38.87860410959942,-0.001395890400580413
88.0,38.92,38.91641762329289,-0.0035823767071150314
89.0,38.96,38.954193590226005,-0.005806409773995824
