时间_s,L1_x0.050mm,L1_x0.150mm,L1_x0.250mm,L1_x0.350mm,L1_x0.450mm,L1_x0.550mm,L2_x0.650mm,L2_x0.750mm,L2_x0.850mm,L2_x0.950mm,L2_x1.050mm,L2_x1.150mm,L2_x1.250mm,L2_x1.350mm,L2_x1.450mm,L2_x1.550mm,L2_x1.650mm,L2_x1.750mm,L2_x1.850mm,L2_x1.950mm,L2_x2.050mm,L2_x2.150mm,L2_x2.250mm,L2_x2.350mm,L2_x2.450mm,L2_x2.550mm,L2_x2.650mm,L2_x2.750mm,L2_x2.850mm,L2_x2.950mm,L2_x3.050mm,L2_x3.150mm,L2_x3.250mm,L2_x3.350mm,L2_x3.450mm,L2_x3.550mm,L2_x3.650mm,L2_x3.750mm,L2_x3.850mm,L2_x3.950mm,L2_x4.050mm,L2_x4.150mm,L2_x4.250mm,L2_x4.350mm,L2_x4.450mm,L2_x4.550mm,L2_x4.650mm,L2_x4.750mm,L2_x4.850mm,L2_x4.950mm,L2_x5.050mm,L2_x5.150mm,L2_x5.250mm,L2_x5.350mm,L2_x5.450mm,L2_x5.550mm,L2_x5.650mm,L2_x5.750mm,L2_x5.850mm,L2_x5.950mm,L2_x6.050mm,L2_x6.150mm,L2_x6.250mm,L2_x6.350mm,L2_x6.450mm,L2_x6.550mm,L3_x6.650mm,L3_x6.750mm,L3_x6.850mm,L3_x6.950mm,L3_x7.050mm,L3_x7.150mm,L3_x7.250mm,L3_x7.350mm,L3_x7.450mm,L3_x7.550mm,L3_x7.650mm,L3_x7.750mm,L3_x7.850mm,L3_x7.950mm,L3_x8.050mm,L3_x8.150mm,L3_x8.250mm,L3_x8.350mm,L3_x8.450mm,L3_x8.550mm,L3_x8.650mm,L3_x8.750mm,L3_x8.850mm,L3_x8.950mm,L3_x9.050mm,L3_x9.150mm,L3_x9.250mm,L3_x9.350mm,L3_x9.450mm,L3_x9.550mm,L3_x9.650mm,L3_x9.750mm,L3_x9.850mm,L3_x9.950mm,L3_x10.050mm,L3_x10.150mm,L4_x10.250mm,L4_x10.350mm,L4_x10.450mm,L4_x10.550mm,L4_x10.650mm,L4_x10.750mm,L4_x10.850mm,L4_x10.950mm,L4_x11.050mm,L4_x11.150mm,L4_x11.250mm,L4_x11.350mm,L4_x11.450mm,L4_x11.550mm,L4_x11.650mm,L4_x11.750mm,L4_x11.850mm,L4_x11.950mm,L4_x12.050mm,L4_x12.150mm,L4_x12.250mm,L4_x12.350mm,L4_x12.450mm,L4_x12.550mm,L4_x12.650mm,L4_x12.750mm,L4_x12.850mm,L4_x12.950mm,L4_x13.050mm,L4_x13.150mm,L4_x13.250mm,L4_x13.350mm,L4_x13.450mm,L4_x13.550mm,L4_x13.650mm,L4_x13.750mm,L4_x13.850mm,L4_x13.950mm,L4_x14.050mm,L4_x14.150mm,L4_x14.250mm,L4_x14.350mm,L4_x14.450mm,L4_x14.550mm,L4_x14.650mm,L4_x14.750mm,L4_x14.850mm,L4_x14.950mm,L4_x15.050mm,L4_x15.150mm
0.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
1.0,49.60739142799564,46.75324940362168,44.39045705347165,42.399981509271505,40.68154649695918,39.14858061365829,38.278343435117186,38.02513575118973,37.82208214122994,37.65924834456892,37.52866782772787,37.42395202715043,37.33997779304725,37.27263674275418,37.21863426088636,37.17532831250655,37.14060018335105,37.112750823165875,37.090417720821115,37.07250824437447,37.05814618479179,37.04662888801209,37.03739287807238,37.02998628942691,37.024046759730645,37.0192837015064,37.01546408534884,37.01240103911827,37.00994470534747,37.00797490956641,37.00639528084744,37.005128536922804,37.00411270320189,37.00329808070627,37.00264481458079,37.00212094422164,37.00170083962547,37.00136394745877,37.001093785499904,37.000877136257586,37.000703400314016,37.00056407775554,37.000452352320124,37.000362757916335,37.0002909111985,37.0002332971145,37.000187096934184,37.000150050344956,37.000120344867476,37.00009652718133,37.00007743202231,37.00006212517267,37.00004985775514,37.00004002959459,37.00003215985492,37.000025863514416,37.0000208325289,37.00001682076078,37.00001363193701,37.00001111004656,37.00000913170764,37.00000760013136,37.00000644038638,37.00000559573295,37.00000502484699,37.00000469979828,37.00000426121589,37.00000360043883,37.00000304212962,37.00000257039888,37.00000217182123,37.00000183505323,37.00000155051052,37.00000131009507,37.000001106964696,37.00000093533832,37.00000079033151,37.0000006678174,37.000000564309246,37.00000047686123,37.0000004029846,37.00000034057683,37.00000028786184,37.000000243339336,37.00000020574223,37.00000017400051,37.00000014721081,37.0000001246107,37.000000105556985,37.00000008950741,37.00000007600519,37.000000064666075,37.000000055167334,37.00000004723864,37.000000040654356,37.000000035227096,37.0000000308024,37.00000002725433,37.000000024481906,37.00000002240624,37.00000002096825,37.00000002012701,37.00000001977708,37.00000001935404,37.000000018939204,37.0000000185324,37.00000001813345,37.00000001774219,37.000000017358445,37.000000016982064,37.00000001661287,37.00000001625073,37.00000001589547,37.000000015546945,37.000000015205,37.000000014869514,37.00000001454032,37.00000001421729,37.0000000139003,37.000000013589194,37.00000001328386,37.000000012984145,37.00000001268994,37.000000012401124,37.00000001211756,37.00000001183914,37.00000001156574,37.00000001129724,37.000000011033535,37.00000001077451,37.00000001052005,37.00000001027005,37.0000000100244,37.00000000978301,37.000000009545765,37.00000000931257,37.00000000908333,37.00000000885793,37.00000000863629,37.00000000841831,37.0000000082039,37.000000007992966,37.000000007785424,37.000000007581185,37.00000000738016,37.00000000718226,37.00000000698741,37.00000000679553,37.000000006606534,37.000000006420336,37.00000000623687,37.00000000605604
2.0,53.23578718179495,50.42789009018051,47.8051142263243,45.3543621280907,43.05244596078811,40.86997108232792,39.58986152472306,39.189562131345724,38.84623151184293,38.553006708304565,38.30350842882119,38.09191870220536,37.91300879383777,37.762134040000745,37.6352076106901,37.52866175105013,37.43940249115209,37.36476193226978,37.30245084662259,37.250513338389624,37.20728460910763,37.171352376466096,37.14152215622455,37.116786390558985,37.09629726119259,37.07934293879232,37.06532697399571,37.053750517335004,37.04419705595722,37.036319367689536,37.02982841288388,37.024483908229904,37.020086352039186,37.016470295824824,37.01349868133501,37.01105808494245,37.00905473212105,37.00741116352116,37.00606345088117,37.004958875762085,37.00405399699033,37.00331304389705,37.00270658211485,37.00221040700222,37.0018046268727,37.00147290425978,37.00120182858886,37.000980397978516,37.000799591565105,37.00065201683742,37.00053161906584,37.000433442088486,37.00035343154036,37.00028827313457,37.00023525987624,37.00019218314923,37.00015724349797,37.00012897766121,37.000106199025026,37.00008794917109,37.00007345861942,37.00006211521845,37.00005343893128,37.00004706201618,37.00004271381098,37.00004020951287,37.000036672747726,37.00003128865318,37.000026692560304,37.00002276955448,37.00001942141302,37.00001656419189,37.000014126159414,37.000012046027685,37.00001027143868,37.00000875766897,37.0000074665214,37.00000636537701,37.00000542638415,37.00000462576508,37.00000394322307,37.000003361435624,37.00000286562129,37.000002443169535,37.000002083324546,37.00000177691521,37.00000151612455,37.00000129429292,37.000001105750236,37.00000094567288,37.00000080996185,37.000000695139086,37.00000059825947,37.00000051683615,37.0000004487775,37.000000392333966,37.00000034605363,37.00000030874529,37.000000279448145,37.00000025740727,37.0000002420545,37.0000002329938,37.00000022907975,37.00000022434286,37.0000002196928,37.00000021512777,37.00000021064601,37.00000020624579,37.00000020192542,37.00000019768322,37.000000193517565,37.000000189426835,37.000000185409455,37.000000181463875,37.00000017758857,37.00000017378204,37.000000170042824,37.000000166369475,37.00000016276057,37.000000159214736,37.00000015573058,37.00000015230676,37.00000014894196,37.000000145634864,37.000000142384216,37.000000139188735,37.000000136047206,37.000000132958405,37.00000012992113,37.00000012693422,37.000000123996514,37.000000121106865,37.00000011826417,37.000000115467316,37.000000112715234,37.00000011000686,37.00000010734114,37.000000104717024,37.00000010213352,37.00000009958962,37.00000009708433,37.000000094616695,37.00000009218575,37.00000008979056,37.000000087430195,37.000000085103736,37.00000008281029,37.00000008054896,37.00000007831888,37.00000007611917,37.00000007394899,37.000000071807484
3.0,54.777109220721414,52.075867312303956,49.45764728077178,46.92267864006793,44.466718725107704,42.08200711245728,40.662695593152975,40.20021183885527,39.78717343862604,39.420169986393105,39.09559191161952,38.80976598605032,38.55906025381129,38.3399621527302,38.14913390164003,37.98344914708708,37.84001455859646,37.71617964482173,37.6095376051892,37.51791957772849,37.439384219847554,37.37220417859801,37.314850676057105,37.26597715423514,37.22440268972146,37.18909569674084,37.1591582832856,37.13381150323783,37.1123816528301,37.094287687753706,37.07902978356867,37.06617902320022,37.05536816815933,37.04628345213306,37.038657324635146,37.03226206676161,37.02690419937157,37.02241960510632,37.018669288704785,37.015535704401316,37.01291958429252,37.010737207052216,37.008918051977965,37.007402788869825,37.0061415595362,37.00509251170279,37.00422055071785,37.00349627867338,37.002895094391995,37.002396431170546,37.00198311224169,37.00164080663572,37.00135757052446,37.00112346123453,37.000930212958075,37.00077096479159,37.0006400331259,37.00053272161653,37.000445163007385,37.000374187982054,37.00031721699716,37.0002721717262,37.000237403327965,37.00021163526354,37.00019391883405,37.000183600008164,37.00016836700528,37.00014495253748,37.00012477292362,37.00010738465946,37.00009240452614,37.00007950147925,37.00006838961636,37.000058822081826,37.00005058578548,37.00004349682826,37.000037396541344,37.000032148057464,37.00002763334408,37.00002375063683,37.000020412220024,37.000017542507955,37.00001507638668,37.00001295778162,37.00001113842055,37.0000095767659,37.00000823709361,37.000007088698894,37.00000610521194,37.00000526400879,37.00000454570472,37.00000393371921,37.000003413903116,37.00000297421973,37.00000260447305,37.0000022960771,37.000002041861336,37.00000183590796,37.00000167341736,37.000001550598874,37.00000146458439,37.00000141336289,37.000001390383,37.000001362543465,37.000001335186006,37.000001308301016,37.00000128187902,37.00000125591074,37.00000123038704,37.00000120529894,37.000001180637604,37.00000115639435,37.00000113256064,37.000001109128085,37.00000108608844,37.00000106343357,37.00000104115552,37.00000101924642,37.00000099769854,37.0000009765043,37.000000955656226,37.00000093514695,37.00000091496924,37.00000089511599,37.00000087558017,37.00000085635489,37.000000837433355,37.00000081880889,37.00000080047492,37.00000078242496,37.000000764652626,37.00000074715163,37.0000007299158,37.00000071293902,37.0000006962153,37.00000067973872,37.00000066350345,37.00000064750373,37.00000063173391,37.000000616188395,37.000000600861675,37.00000058574834,37.00000057084302,37.000000556140435,37.000000541635366,37.000000527322676,37.000000513197286,37.00000049925419,37.00000048548844,37.00000047189514,37.00000045846947,37.00000044520666
4.0,55.615730974173985,52.99432603592988,50.419191256067464,47.89249718549708,45.414660680916555,42.98457964242683,41.528033344606236,41.04188800931422,40.59692111196179,40.191570572400515,39.823960285293055,39.49198492872677,39.193386672972196,38.92582240867614,38.686920961550726,38.47433038296182,38.28575583716157,38.11898888223858,37.971929097087816,37.84259907081907,37.72915376937175,37.62988524734467,37.543223597497196,37.46773493852516,37.40211714282669,37.34519390666906,37.295907669960414,37.2533118045966,37.216562410733324,37.18490999005806,37.15769120429176,37.13432087538473,37.11428434055404,37.09713023964954,37.08246378346835,37.069940528686615,37.059260667196156,37.05016382403154,37.04242434803176,37.03584707225884,37.03026351643445,37.02552850077124,37.02151713915911,37.01812217937443,37.01525165852736,37.01282684311798,37.01078042464718,37.009054943576025,37.00760141642938,37.006378142908474,37.00534967194401,37.004485907638276,37.003761337976734,37.00315437101364,37.00264676493926,37.00222314001073,37.0018705617736,37.00157818631912,37.001336959518824,37.0011393632603,37.000979202685265,37.00085142931274,37.00075199572625,37.00067773822516,37.00062628449654,37.00059598396582,37.00054929681524,37.00047688863297,37.00041392729297,37.0003591952349,37.00031162966105,37.00027030319556,37.000234406913,37.00020323545319,37.000176173972264,37.000152686708795,37.00013230696992,37.000114628364955,37.00009929713488,37.000086005443556,37.00007448551296,37.00006450449867,37.00005586001429,37.000048376224704,37.0000419004377,37.00003630013224,37.00003146036902,37.000027281536106,37.00002367738774,37.00002057334037,37.00001790499386,37.00001561685034,37.00001366120665,37.000011997199394,37.00001058998454,37.000009410035936,37.000008432549336,37.00000763694057,37.00000700642816,37.0000065276923,37.00000619060363,37.000005988016625,37.00000589364694,37.00000577920805,37.00000566663977,37.000005555906036,37.000005446971315,37.000005339800666,37.0000052343597,37.00000513061457,37.000005028531945,37.00000492807905,37.000004829223606,37.00000473193383,37.00000463617844,37.00000454192664,37.00000444914812,37.00000435781301,37.00000426789192,37.00000417935587,37.000004092176354,37.00000400632526,37.00000392177494,37.00000383849811,37.00000375646792,37.000003675657894,37.00000359604194,37.00000351759437,37.00000344028984,37.00000336410337,37.000003289010344,37.00000321498647,37.00000314200781,37.000003070050774,37.00000299909206,37.0000029291087,37.00000286007804,37.00000279197771,37.00000272478564,37.00000265848006,37.00000259303946,37.00000252844263,37.000002464668604,37.00000240169668,37.00000233950643,37.000002278077645,37.00000221739037,37.00000215742488,37.0000020981617,37.000002039581545,37.00000198166537,37.00000192439432
5.0,56.170888906989695,53.6114896033607,51.08318179603729,48.58832453652625,46.12852170124816,43.70468179127481,42.246332762769576,41.75233958824706,41.29310477718899,40.86793028155779,40.47584622769732,40.11565525310551,39.785976927735064,39.48529068018007,39.21197603978932,38.96434936433445,38.74069653644933,38.539301374884495,38.358469718027436,38.19654929987376,38.051945657521024,37.923134390193376,37.808670139038284,37.70719268057233,37.617430530340265,37.53820244211028,37.4684171660656,37.4070718005574,37.35324903895969,37.30611357829213,37.26490792128461,37.22894776971225,37.19761717500777,37.17036358292298,37.14669288267585,37.12616454770942,37.108386934884486,37.093012791512784,37.0797350049231,37.06828261701193,37.05841711621189,37.04992901125828,37.04263468479341,37.036373519980096,37.03100528967393,37.02640779512728,37.02247473948136,37.01911382028713,37.01624502483946,37.013799112092975,37.01171626524968,37.00994489968212,37.0084406116118,37.00716525384242,37.00608612580539,37.00517526617484,37.00440883732219,37.00376659188571,37.00323141271293,37.00278891838265,37.00242712742217,37.00213617520114,37.00190807830463,37.00173654196714,37.001616806887334,37.00154553244623,37.001431091938834,37.00125212507979,37.0010952213122,37.00095770705127,37.00083722633023,37.00073170399696,37.000639313048474,37.00055844565663,37.000487687484025,37.00042579493058,37.000371674988564,37.00032436741781,37.00028302898321,37.00024691952435,37.000215389651615,37.00018786988562,37.00016386107662,37.00014292595864,37.00012468170928,37.00010879340019,37.00009496823662,37.00008295049567,37.000072517083396,37.00006347364018,37.00005565113188,37.00004890287195,37.00004310192628,37.00003813885825,37.00003391977719,37.00003036465789,37.0000274059034,37.0000249871272,37.000023062134225,37.00002159408378,37.000020554820175,37.0000199243596,37.00001961953933,37.00001924954692,37.00001888525968,37.000018526571004,37.000018173375885,37.00001782557085,37.000017483053995,37.000017145724904,37.00001681348465,37.000016486235744,37.000016163882144,37.00001584632918,37.00001553348355,37.000015225253314,37.000014921547866,37.00001462227786,37.00001432735523,37.000014036693145,37.00001375020601,37.00001346780939,37.00001318942005,37.00001291495591,37.00001264433598,37.00001237748039,37.00001211431032,37.00001185474806,37.00001159871688,37.00001134614109,37.00001109694599,37.00001085105783,37.00001060840383,37.000010368912115,37.00001013251174,37.00000989913262,37.00000966870557,37.00000944116221,37.000009216435025,37.00000899445729,37.00000877516306,37.000008558487195,37.00000834436527,37.00000813273362,37.00000792352927,37.00000771668995,37.00000751215409,37.00000730986075,37.00000710974967,37.000006911761176,37.00000671583623,37.00000652191637
6.0,56.59235361653849,54.08413389381075,51.59972506820313,49.141338684757905,46.7108120750486,44.30962011819502,42.861560945724094,42.366258568249386,41.900991762061174,41.46546541587338,41.059173072392035,40.681419600647615,40.3313457673335,40.00795373600428,39.710132641530556,39.43668352220473,39.186343032408004,38.95780549631356,38.74974299158698,38.56082326739546,38.3897254009339,38.23515318018926,38.09584626792166,37.970589253721755,37.85821873889253,37.757628624472005,37.6677737877626,37.58767233906929,37.5164066496953,37.45312333618492,37.397032375748545,37.34740551497354,37.30357411934643,37.26492659562856,37.23090550341338,37.20100445676737,37.17476490210452,37.15177284463794,37.131655583067776,37.11407850070187,37.09874195100234,37.085378266598426,37.07374891305984,37.06364180211605,37.05486877345126,37.04726324960631,37.04067806478022,37.03498346534482,37.03006527757115,37.025823236324364,37.02216946723121,37.01902711398202,37.016329101930836,37.014017028938454,37.012040174413066,37.010354617692805,37.00892245724601,37.00771112260424,37.00669277146266,37.00584376495917,37.00514421476035,37.0045775962237,37.00413042256097,37.00379197558941,37.003554089319024,37.003410983282635,37.003171942753944,37.00279524611595,37.00246246642831,37.00216859829361,37.001909191908396,37.001680293472965,37.001478391725385,37.001300370007776,37.00114346332531,37.001005219906695,37.000883466819886,37.00077627923762,37.000681952985396,37.00059898003935,37.000526026672965,37.000461913981,37.000405600535274,37.000356166951576,37.00031280216861,37.000274791260466,37.000241504621926,37.000212388382856,37.000186955923034,37.00016478037226,37.00014548799306,37.00012875235496,37.00011428921895,37.000101852060624,37.00009122816871,37.00008223526344,37.0000747185864,37.00006854841989,37.00006361800003,37.0000598417929,37.000057154108774,37.000055508033896,37.00005468239107,37.00005367932562,37.00005269084241,37.000051716677085,37.00005075656896,37.00004981026099,37.00004887749969,37.00004795803506,37.00004705162055,37.00004615801297,37.00004527697246,37.00004440826238,37.000043551649306,37.000042706902924,37.000041873796015,37.00004105210434,37.00004024160666,37.00003944208459,37.000038653322626,37.00003787510802,37.00003710723078,37.0000363494836,37.0000356016618,37.00003486356324,37.00003413498835,37.00003341574001,37.000032705623525,37.000032004446574,37.00003131201916,37.00003062815355,37.00002995266425,37.00002928536794,37.00002862608343,37.000027974631614,37.00002733083543,37.00002669451978,37.000026065511555,37.000025443639515,37.00002482873429,37.00002422062833,37.00002361915587,37.000023024152824,37.00002243545683,37.00002185290716,37.00002127634469,37.000020705611846,37.00002014055259,37.00001958101236,37.000019026838004,37.0000184778778
7.0,56.940121826788825,54.47597733626273,52.0315731537948,49.60892463524858,47.20983218452524,44.83587939321956,43.40203712849449,42.90823590697711,42.44095056055608,42.0000823335144,41.585369877940664,41.19640124554002,40.83262774215516,40.49337912068442,40.17787960816905,39.88526429995122,39.614595503189506,39.36487866920101,39.13507761514659,38.924128797188594,38.730954456799026,38.554474517407485,38.393617158681685,38.24732803958979,38.11457817861082,37.99437053000424,37.885745319165075,37.78778421822172,37.69961345575517,37.620405962486714,37.54938265868128,37.48581298952896,37.42901481255071,37.378353736730254,37.33324200714824,37.29313702186518,37.2575395600778,37.225991792502946,37.19807513680445,37.17340801289445,37.15164354528097,37.132467252423254,37.11559475638014,37.10076953994726,37.087760773001456,37.07636122490934,37.06638527559812,37.05766703420643,37.050058571094574,37.04342826635937,37.03765927582335,37.03264811370661,37.02830334979802,37.02454441787564,37.02130053134391,37.018509701518035,37.016117853658116,37.01407803570591,37.012349714675224,37.01089815576898,37.009693879517975,37.00871219254116,37.00793278789554,37.00733941140475,37.006919590814334,37.006664425110586,37.0062217895201,37.00551930969649,37.004894356238104,37.00433861393136,37.00384462988388,37.00340572805712,37.00301593179187,37.002669893643585,37.00236283189451,37.00209047315812,37.00184900053633,37.001635006832466,37.001445452363285,37.00127762695066,37.00112911570848,37.00099776827303,37.00088167115548,37.00077912292315,37.000688611942564,37.00060879644134,37.000538486668184,37.00047662895127,37.00042229147395,37.00037465160458,37.00033298463317,37.000296653782804,37.00026510137722,37.00023784105884,37.000214450963185,37.00019456776635,37.000177881532586,37.00016413129793,37.00015310133499,37.00014461805185,37.00013854748597,37.00013479336114,37.000132841030215,37.000130467149845,37.00012812579186,37.00012581638329,37.000123538358594,37.00012129115959,37.00011907423531,37.00011688704186,37.000114729042316,37.000112599706576,37.000110498511276,37.000108424939626,37.00010637848133,37.000104358632434,37.00010236489526,37.00010039677824,37.00009845379581,37.00009653546833,37.00009464132195,37.00009277088849,37.00009092370536,37.00008909931544,37.000087297266965,37.00008551711342,37.000083758413474,37.00008202073082,37.000080303634135,37.00007860669691,37.0000769294974,37.000075271618535,37.00007363264777,37.00007201217704,37.000070409802646,37.000068825125155,37.00006725774932,37.00006570728396,37.0000641733419,37.000062655539864,37.0000611534984,37.000059666841786,37.000058195197916,37.00005673819823,37.00005529547766,37.000053866674484,37.000052451430285,37.00005104938985,37.00004966020111,37.000048283514985,37.000046918985404,37.00004556626915
8.0,57.24123001050282,54.81611109666291,52.40812745799633,50.01911389043531,47.65076485718132,45.30462915161932,43.886008211984034,43.3949652983332,42.927735291283255,42.48432089827554,42.06459754986055,41.668320091491765,41.2951309437971,40.944569452740595,40.616082143821615,40.309033597876656,40.02271767850208,39.75636886079647,39.50917343619426,39.280280396869365,39.06881183391588,38.873872714855835,38.69455993679636,38.529970580816425,38.37920932019132,38.241394959363234,38.11566610183314,38.0011859632432,37.89714636083807,37.80277092234595,37.71731756629538,37.6400803121303,37.570390482488826,37.50761736197497,37.45116837698593,37.40048885996123,37.355061459080346,37.314405251215,37.27807461207831,37.24565789321572,37.216775950930355,37.19108056758301,37.168252801076264,37.148001293826525,37.130060568221985,37.11418933151768,37.10016880936965,37.08780112378467,37.076907728171456,37.0673279094269,37.05891736457102,37.05154685734356,37.04510095837912,37.039476871064785,37.034583343933235,37.03033966943275,37.02667476811928,37.02352635671277,37.02084019802752,37.01856943050348,37.01667397491255,37.015120015772524,37.01387955505449,37.012930035901626,37.01225403427484,37.01183901669001,37.011092689044624,37.00990051287655,37.00883302497209,37.00787763087959,37.007022956580286,37.00625873689372,37.005575713331446,37.00496554069672,37.004420701769014,37.00393442945209,37.00350063580347,37.00311384740093,37.002769146538064,37.00246211777608,37.002188799412416,37.001945639458576,37.00172945575017,37.00153739984062,37.00136692435733,37.00121575352477,37.00108185658289,37.000963423852184,37.00085884521781,37.000766690825394,37.000685693799504,37.00061473481378,37.00055282835765,37.00049911056023,37.00045282844638,37.00041333051332,37.000380058529146,37.00035254046635,37.000330384495,37.00031327397085,37.00030096336419,37.000293275084545,37.00028913244147,37.000284091268284,37.0002791151604,37.000274203001915,37.00026935369047,37.00026456613703,37.00025983926567,37.000255172013325,37.000250563329615,37.000246012176575,37.00024151752849,37.00023707837164,37.00023269370411,37.0002283625356,37.000224083887176,37.0002198567911,37.00021568029061,37.00021155343973,37.00020747530309,37.00020344495567,37.00019946148267,37.000195523979315,37.00019163155061,37.0001877833112,37.00018397838518,37.000180215905914,37.00017649501581,37.000172814866204,37.00016917461712,37.000165573437144,37.00016201050322,37.000158485000476,37.00015499612207,37.00015154306899,37.000148125049925,37.000144741281055,37.0001413909859,37.000138073395185,37.000134787746624,37.00013153328481,37.000128309261,37.000125114933006,37.000121949565006,37.0001188124274,37.000115702796656,37.00011261995512,37.00010956319092,37.000106531797776,37.00010352507487,37.00010054232666
9.0,57.50948635207824,55.119574369880446,52.744950275263896,50.387294656966034,48.04818726728449,45.72910124316559,44.32564005307095,43.83792831204333,43.37188823716215,42.927578045054766,42.504953909355486,42.10387391100642,41.72410308898399,41.36531943931879,41.0271206984564,40.709031741150774,40.41051242273582,40.13096570015904,39.869745874842096,39.62616681245598,39.3995100092454,39.189032390818106,38.99397374659154,38.81356372070259,38.64702829756558,38.493595736937856,38.352501928947035,38.22299515377356,38.10434024337572,37.99582215368517,37.89674896504786,37.8064543363571,37.72429944438676,37.649674444384736,37.5819994911551,37.520725361786795,37.465333722029435,37.415337078228575,37.37027845586718,37.32973084426327,37.29329644498331,37.26060575917187,37.23131654638242,37.20511268472145,37.181702959271234,37.160819802909614,37.14221801085377,37.1256734475689,37.11098176213578,37.09795712579137,37.08643100316218,37.076250966710774,37.0672795621182,37.05939323072802,37.05248129377736,37.04644500192963,37.041196652592326,37.036658776640785,37.03276339546097,37.029451348659386,37.026671692350945,37.02438116761297,37.02254373847126,37.021130198649054,37.020117846248624,37.01949022553562,37.01832227494301,37.016445416977156,37.01475482581847,37.013232768059105,37.01186311655184,37.01063121513689,37.00952375367542,37.00852865274027,37.00763495734044,37.00683273908274,37.006113006201865,37.00546762091811,37.0048892236102,37.004371163318865,37.00390743412429,37.00349261696807,37.00312182651676,37.00279066268994,37.00249516650101,37.002231779882905,37.00199730919432,37.00178889212431,37.001603967734574,37.001440249399195,37.00129570042109,37.00116851212298,37.00105708422865,37.00096000736676,37.00087604754604,37.00080413246567,37.00074333953939,37.00069288552608,37.00065211767266,37.00062050628827,37.00059763868102,37.00058321440055,37.00057516789852,37.000565368699775,37.000555688632076,37.000546125703124,37.00053667794316,37.00052734340456,37.00051812016154,37.0005090063097,37.00049999996576,37.000491099267144,37.000482302371665,37.000473607457174,37.0004650127212,37.00045651638063,37.00044811667137,37.000439811848004,37.00043160018347,37.000423479968724,37.00041544951244,37.000407507140665,37.00039965119652,37.00039188003988,37.00038419204706,37.00037658561048,37.00036905913843,37.00036161105469,37.000354239798284,37.000346943823146,37.00033972159785,37.000332571605284,37.00032549234241,37.00031848231995,37.00031154006207,37.000304664106146,37.00029785300245,37.00029110531389,37.00028441961573,37.00027779449531,37.00027122855177,37.00026472039579,37.00025826864931,37.00025187194528,37.00024552892737,37.00023923824974,37.00023299857676,37.00022680858274,37.000220666951684,37.00021457237704,37.00020852356144,37.000202519216465
