d2_mm,d4_mm,max_skin_temp_c,duration_above_44_s,final_skin_temp_c,feasible,grid_dx_mm,dt_s
24.5,0.6,47.68830635483152,656.2747772697323,47.68830635483152,False,0.1,1.0
24.6,0.6,47.62888259675102,648.505927359308,47.62888259675102,False,0.1,1.0
24.7,0.6,47.56964184084137,640.7684453016842,47.56964184084137,False,0.1,1.0
24.8,0.6,47.51058544843606,631.0623843411552,47.51058544843606,False,0.1,1.0
24.9,0.6,47.4517147356658,623.3878824883459,47.4517147356658,False,0.1,1.0
25.0,0.6,47.393030974410784,615.744802523129,47.393030974410784,False,0.1,1.0
24.5,0.7,47.54232145038569,642.9496281450234,47.54232145038569,False,0.1,1.0
24.6,0.7,47.48367511547566,633.2845524437028,47.48367511547566,False,0.1,1.0
24.7,0.7,47.425209680800776,625.6512450001238,47.425209680800776,False,0.1,1.0
24.8,0.7,47.36692648858227,616.0497131662521,47.36692648858227,False,0.1,1.0
24.9,0.7,47.308826836348665,608.4801724466633,47.308826836348665,False,0.1,1.0
25.0,0.7,47.25091197788019,600.9424051208778,47.25091197788019,False,0.1,1.0
24.5,0.8,47.400251838725794,627.7298520941758,47.400251838725794,False,0.1,1.0
24.6,0.8,47.342363027710874,618.1692774320348,47.342363027710874,False,0.1,1.0
24.7,0.8,47.28465306083021,610.6409689944102,47.28465306083021,False,0.1,1.0
24.8,0.8,47.227123261701536,601.1448468871201,47.227123261701536,False,0.1,1.0
24.9,0.8,47.16977490975026,593.6810673125731,47.16977490975026,False,0.1,1.0
25.0,0.8,47.11260924114481,584.2495574575397,47.11260924114481,False,0.1,1.0
24.5,0.9,47.261942766857,612.6179625342875,47.261942766857,False,0.1,1.0
24.6,0.9,47.20479232722468,603.1627933804979,47.20479232722468,False,0.1,1.0
24.7,0.9,47.14781872006699,595.7403062068058,47.14781872006699,False,0.1,1.0
24.8,0.9,47.09102325088787,586.3504742412011,47.09102325088787,False,0.1,1.0
24.9,0.9,47.03440718148926,578.9932533043673,47.03440718148926,False,0.1,1.0
25.0,0.9,46.97797173089768,569.668893641495,46.97797173089768,False,0.1,1.0
24.5,1.0,47.12724749239659,597.6166463976044,47.12724749239659,False,0.1,1.0
24.6,1.0,47.070816981921524,588.2677866545956,47.070816981921524,False,0.1,1.0
24.7,1.0,47.014561335359744,580.9519400532909,47.014561335359744,False,0.1,1.0
24.8,1.0,46.958481840572794,571.6692775698828,46.958481840572794,False,0.1,1.0
24.9,1.0,46.90257974220077,562.419676114672,46.90257974220077,False,0.1,1.0
25.0,1.0,46.84685624258012,553.2031833645938,46.84685624258012,False,0.1,1.0
24.5,1.1,46.99602677453156,582.7285882681251,46.99602677453156,False,0.1,1.0
24.6,1.1,46.94029842697063,573.4869403771088,46.94029842697063,False,0.1,1.0
24.7,1.1,46.88474301656542,564.2787294104371,46.88474301656542,False,0.1,1.0
24.8,1.1,46.82936181398919,555.1040009568741,46.82936181398919,False,0.1,1.0
24.9,1.1,46.77415604716434,547.962821905662,46.77415604716434,False,0.1,1.0
25.0,1.1,46.719126902172405,538.8552537680696,46.719126902172405,False,0.1,1.0
24.5,1.2,46.868148403094835,567.9564717224049,46.868148403094835,False,0.1,1.0
24.6,1.2,46.81310509590138,558.8229358334577,46.81310509590138,False,0.1,1.0
24.7,1.2,46.758232839662455,549.7232790006547,46.758232839662455,False,0.1,1.0
24.8,1.2,46.703532888300316,540.6575402574722,46.703532888300316,False,0.1,1.0
24.9,1.2,46.64900645344754,531.6257563632155,46.64900645344754,False,0.1,1.0
25.0,1.2,46.59465470534971,522.6279618601653,46.59465470534971,False,0.1,1.0
24.5,1.3,46.743486762468635,551.3031786730277,46.743486762468635,False,0.1,1.0
24.6,1.3,46.689111986387495,542.2786347559727,46.689111986387495,False,0.1,1.0
24.7,1.3,46.634906414414026,533.2884216125501,46.634906414414026,False,0.1,1.0
24.8,1.3,46.580871284140414,524.3325714113198,46.580871284140414,False,0.1,1.0
24.9,1.3,46.52700779132204,515.4111141535445,46.52700779132204,False,0.1,1.0
25.0,1.3,46.47331709077132,506.52407772949005,46.47331709077132,False,0.1,1.0
24.5,1.4,46.6219224274136,536.7713047196171,46.6219224274136,False,0.1,1.0
24.6,1.4,46.56820025782979,527.8567327969834,46.56820025782979,False,0.1,1.0
24.7,1.4,46.51464548370178,518.9769075107299,46.51464548370178,False,0.1,1.0
24.8,1.4,46.46125932669802,508.13193935420344,46.46125932669802,False,0.1,1.0
24.9,1.4,46.4080429670938,499.32180325846946,46.4080429670938,False,0.1,1.0
25.0,1.4,46.354997544657074,490.54650561578273,46.354997544657074,False,0.1,1.0
24.5,1.5,46.50334178809563,520.3637495447723,46.50334178809563,False,0.1,1.0
24.6,1.5,46.45025685801684,511.5601649232932,46.45025685801684,False,0.1,1.0
24.7,1.5,46.397337551819504,502.79175089417663,46.397337551819504,False,0.1,1.0
24.8,1.5,46.34458507564024,492.0585641606641,46.34458507564024,False,0.1,1.0
24.9,1.5,46.29200059465749,483.36073938190316,46.29200059465749,False,0.1,1.0
25.0,1.5,46.2395852339693,474.6981566648534,46.2395852339693,False,0.1,1.0
24.5,1.6,46.38763670189546,504.083256840628,46.38763670189546,False,0.1,1.0
24.6,1.6,46.33517417645971,495.3916874081339,46.33517417645971,False,0.1,1.0
24.7,1.6,46.28287553933207,486.7356980591651,46.28287553933207,False,0.1,1.0
24.8,1.6,46.230741981494745,476.1153754628908,46.230741981494745,False,0.1,1.0
24.9,1.6,46.17877465339869,467.530846996118,46.17877465339869,False,0.1,1.0
25.0,1.6,46.1269746658335,458.98195002817266,46.1269746658335,False,0.1,1.0
