d2_mm,d4_mm,max_skin_temp_c,duration_above_44_s,final_skin_temp_c,feasible,grid_dx_mm,dt_s
0.6,0.6,58.582567133561085,1776.8115002868824,58.582567133561085,False,0.25,2.0
0.7,0.6,58.55810440664594,1774.3505913709732,58.55810440664594,False,0.25,2.0
0.8,0.6,58.53369707142639,1775.8821915723886,58.53369707142639,False,0.25,2.0
0.9,0.6,58.50934493997761,1773.4180000901442,58.50934493997761,False,0.25,2.0
1.0,0.6,58.48504782522378,1770.9547787019503,58.48504782522378,False,0.25,2.0
1.1,0.6,58.4608055409328,1768.5054891514533,58.4608055409328,False,0.25,2.0
1.2,0.6,58.43661790171328,1766.0560407709197,58.43661790171328,False,0.25,2.0
1.3,0.6,58.41248472300812,1767.6325796508922,58.41248472300812,False,0.25,2.0
1.4,0.6,58.38840582109032,1765.2167100956608,58.38840582109032,False,0.25,2.0
1.5,0.6,58.36438101305983,1762.815212794973,58.36438101305983,False,0.25,2.0
1.6,0.6,58.34041011683354,1760.4368488383593,58.34041011683354,False,0.25,2.0
1.7,0.6,58.31649295115039,1758.0698539486934,58.31649295115039,False,0.25,2.0
1.8,0.6,58.29262933555248,1759.7333039030395,58.29262933555248,False,0.25,2.0
1.9,0.6,58.26881909038809,1757.4127591172216,58.26881909038809,False,0.25,2.0
2.0,0.6,58.24506203678584,1755.1129829660863,58.24506203678584,False,0.25,2.0
2.1,0.6,58.22135799663259,1752.840470632199,58.22135799663259,False,0.25,2.0
2.2,0.6,58.19770679248124,1750.585496807001,58.19770679248124,False,0.25,2.0
2.3,0.6,58.174108247405854,1748.3586583341682,58.174108247405854,False,0.25,2.0
2.4,0.6,58.15056218468922,1746.1514584430245,58.15056218468922,False,0.25,2.0
2.5,0.6,58.12706842726928,1747.9694468526127,58.12706842726928,False,0.25,2.0
2.6,0.6,58.10362679683328,1745.8192867850096,58.10362679683328,False,0.25,2.0
2.7,0.6,58.08023711210426,1743.690085180683,58.08023711210426,False,0.25,2.0
2.8,0.6,58.05689918677626,1741.5903308353054,58.05689918677626,False,0.25,2.0
2.9,0.6,58.03361282533221,1739.5127738457518,58.03361282533221,False,0.25,2.0
3.0,0.6,58.01037781863103,1737.4613898428995,58.01037781863103,False,0.25,2.0
3.1,0.6,57.9871939374334,1735.440174155919,57.9871939374334,False,0.25,2.0
3.2,0.6,57.96406092056519,1733.4421046180266,57.96406092056519,False,0.25,2.0
3.3,0.6,57.94097846868591,1731.474202207163,57.94097846868591,False,0.25,2.0
3.4,0.6,57.91794622095307,1729.5301291855712,57.91794622095307,False,0.25,2.0
3.5,0.6,57.89496374646164,1727.6131428097794,57.89496374646164,False,0.25,2.0
3.6,0.6,57.87203052461303,1725.7264835777528,57.87203052461303,False,0.25,2.0
3.7,0.6,57.8491458995556,1723.86404788822,57.8491458995556,False,0.25,2.0
3.8,0.6,57.82630909503579,1718.0321594418529,57.82630909503579,False,0.25,2.0
3.9,0.6,57.80351912336671,1716.2269760795969,57.80351912336671,False,0.25,2.0
4.0,0.6,57.780774814367945,1714.4492938325743,57.780774814367945,False,0.25,2.0
4.1,0.6,57.758074774725465,1712.7018072988064,57.758074774725465,False,0.25,2.0
4.2,0.6,57.73541725316879,1710.979100572103,57.73541725316879,False,0.25,2.0
4.3,0.6,57.71280029549658,1709.286220635097,57.71280029549658,False,0.25,2.0
4.4,0.6,57.690221446251954,1707.6182099884772,57.690221446251954,False,0.25,2.0
4.5,0.6,57.66767796810689,1705.9773780322585,57.66767796810689,False,0.25,2.0
4.6,0.6,57.645166752028,1700.370251057402,57.645166752028,False,0.25,2.0
4.7,0.6,57.62268397274463,1698.7881814656273,57.62268397274463,False,0.25,2.0
4.8,0.6,57.600225669436696,1697.2352822835023,57.600225669436696,False,0.25,2.0
4.9,0.6,57.5777869232586,1695.7071380727498,57.5777869232586,False,0.25,2.0
