d2_mm,d4_mm,max_skin_temp_c,duration_above_44_s,final_skin_temp_c,feasible,grid_dx_mm,dt_s
24.5,0.6,47.689716356297104,656.5902520664988,47.689716356297104,False,0.05,0.5
24.6,0.6,47.630285153627426,648.8211531861962,47.630285153627426,False,0.05,0.5
24.7,0.6,47.57103693285197,640.0834474830921,47.57103693285197,False,0.05,0.5
24.8,0.6,47.51197305626292,632.3771884363794,47.51197305626292,False,0.05,0.5
24.9,0.6,47.453094840906644,623.7023945564488,47.453094840906644,False,0.05,0.5
25.0,0.6,47.39440355956302,615.0590788415609,47.39440355956302,False,0.05,0.5
24.5,0.7,47.543710379358636,642.2622931709038,47.543710379358636,False,0.05,0.5
24.6,0.7,47.48505667734645,633.5969196025873,47.48505667734645,False,0.05,0.5
24.7,0.7,47.42658385606997,625.9633574609222,47.42658385606997,False,0.05,0.5
24.8,0.7,47.36829325868941,617.3616531422358,47.36829325868941,False,0.05,0.5
24.9,0.7,47.3101861836298,608.791811165643,47.3101861836298,False,0.05,0.5
25.0,0.7,47.25226388555217,600.2538652394785,47.25226388555217,False,0.05,0.5
24.5,0.8,47.401620297636136,627.0396090428039,47.401620297636136,False,0.05,0.5
24.6,0.8,47.34372419570965,619.478809347469,47.34372419570965,False,0.05,0.5
24.7,0.8,47.28600691916013,610.9502352715778,47.28600691916013,False,0.05,0.5
24.8,0.8,47.22846979252542,602.4539056581095,47.22846979252542,False,0.05,0.5
24.9,0.8,47.17111409610921,593.9898502501342,47.17111409610921,False,0.05,0.5
25.0,0.8,47.11394106694214,584.5581151929496,47.11394106694214,False,0.05,0.5
24.5,0.9,47.26329133336289,612.92488548897,47.26329133336289,False,0.05,0.5
24.6,0.9,47.2061336777273,604.4695015041318,47.2061336777273,False,0.05,0.5
24.7,0.9,47.149152836518674,595.0467568997959,47.149152836518674,False,0.05,0.5
24.8,0.9,47.09235011614242,586.6566823474466,47.09235011614242,False,0.05,0.5
24.9,0.9,47.03572677926069,578.2992916638698,47.03572677926069,False,0.05,0.5
25.0,0.9,46.97928404574514,569.9746067174631,46.97928404574514,False,0.05,0.5
24.5,1.0,47.12857672068597,597.9207618389765,47.12857672068597,False,0.05,0.5
24.6,1.0,47.07213906785019,588.5716720966913,47.07213906785019,False,0.05,0.5
24.7,1.0,47.01587626155805,580.2556416633273,47.01587626155805,False,0.05,0.5
24.8,1.0,46.959789590555125,571.9726643352766,46.959789590555125,False,0.05,0.5
24.9,1.0,46.903880300324445,562.7228287971257,46.903880300324445,False,0.05,0.5
25.0,1.0,46.84814959403046,553.5061005384184,46.84814959403046,False,0.05,0.5
24.5,1.1,46.997337196544315,582.0299183610948,46.997337196544315,False,0.05,0.5
24.6,1.1,46.94160177901609,573.7880257495231,46.94160177901609,False,0.05,0.5
24.7,1.1,46.88603928192301,564.5795784121686,46.88603928192301,False,0.05,0.5
24.8,1.1,46.8306509768047,556.4046427787969,46.8306509768047,False,0.05,0.5
24.9,1.1,46.77543809241031,547.2632458640593,46.77543809241031,False,0.05,0.5
25.0,1.1,46.72040181563287,538.155403150893,46.72040181563287,False,0.05,0.5
24.5,1.2,46.86944052966361,567.2550914615746,46.86944052966361,False,0.05,0.5
24.6,1.2,46.81439022366558,558.1212720588097,46.81439022366558,False,0.05,0.5
24.7,1.2,46.75951095252263,549.0213418950173,46.75951095252263,False,0.05,0.5
24.8,1.2,46.7048039710066,540.955354177465,46.7048039710066,False,0.05,0.5
24.9,1.2,46.650270491560974,531.9233270035874,46.650270491560974,False,0.05,0.5
25.0,1.2,46.595911685226596,522.9252880648246,46.595911685226596,False,0.05,0.5
24.5,1.3,46.74476108440807,551.598971394124,46.74476108440807,False,0.05,0.5
24.6,1.3,46.690379379473484,542.5741832381545,46.690379379473484,False,0.05,0.5
24.7,1.3,46.636166863141604,533.5837247294387,46.636166863141604,False,0.05,0.5
24.8,1.3,46.582124773838565,524.6276280704051,46.582124773838565,False,0.05,0.5
24.9,1.3,46.52825430811461,515.7059232951631,46.52825430811461,False,0.05,0.5
24.5,1.4,46.62317941651686,536.0643520592315,46.62317941651686,False,0.05,0.5
24.6,1.4,46.569450386838504,527.1495595428546,46.569450386838504,False,0.05,0.5
24.7,1.4,46.51588873768053,518.269523556413,46.51588873768053,False,0.05,0.5
24.8,1.4,46.46249569153004,509.4242696987533,46.46249569153004,False,0.05,0.5
24.5,1.5,46.50458189807728,520.6540438614625,46.50458189807728,False,0.05,0.5
24.6,1.5,46.45149017549054,511.85020717938494,46.45149017549054,False,0.05,0.5
24.7,1.5,46.39856406239598,502.08156658392613,46.39856406239598,False,0.05,0.5
24.5,1.6,46.38886036929183,505.37086500329553,46.38886036929183,False,0.05,0.5
