problem,scenario,d2_mm,d4_mm,max_skin_temp_c,duration_above_44_s,final_skin_temp_c,feasible,grid_dx_mm,dt_s
Q2,baseline,17.6,5.5,44.07663067214184,292.0,44.07663067214184,True,0.1,1.0
Q3,baseline,19.3,6.4,44.78504029249634,293.5142996712005,44.78504029249634,True,0.1,1.0
Q2,h_out_-20%,17.6,5.5,44.00136491656731,5.0,44.00136491656731,True,0.1,1.0
Q3,h_out_-20%,19.3,6.4,44.560822613048614,214.1862941393549,44.560822613048614,True,0.1,1.0
Q2,h_out_+20%,17.6,5.5,44.12522572159289,471.0,44.12522572159289,False,0.1,1.0
Q3,h_out_+20%,19.3,6.4,44.93923084471958,345.3567654851516,44.93923084471958,False,0.1,1.0
Q2,h_body_-20%,17.6,5.5,45.297873745550156,1731.6517022714818,45.297873745550156,False,0.1,1.0
Q3,h_body_-20%,19.3,6.4,46.145925515746335,589.5714935434002,46.145925515746335,False,0.1,1.0
Q2,h_body_+20%,17.6,5.5,43.16869079581395,0.0,43.16869079581395,True,0.1,1.0
Q3,h_body_+20%,19.3,6.4,43.77664312246097,0.0,43.77664312246097,True,0.1,1.0
Q2,conductivity_-5%,17.6,5.5,43.78565099955415,0.0,43.78565099955415,True,0.1,1.0
Q3,conductivity_-5%,19.3,6.4,44.32624504622306,133.5443380090092,44.32624504622306,True,0.1,1.0
Q2,conductivity_+5%,17.6,5.5,44.35757123445911,968.3532432037289,44.35757123445911,False,0.1,1.0
Q3,conductivity_+5%,19.3,6.4,45.234182817447014,425.2932096123459,45.234182817447014,False,0.1,1.0
Q2,heat_capacity_-5%,17.6,5.5,44.11506533630231,458.0,44.11506533630231,False,0.1,1.0
Q3,heat_capacity_-5%,19.3,6.4,44.996989337298935,368.22260388715176,44.996989337298935,False,0.1,1.0
Q2,heat_capacity_+5%,17.6,5.5,44.034651702253605,127.0,44.034651702253605,True,0.1,1.0
Q3,heat_capacity_+5%,19.3,6.4,44.576979362493255,218.80591870679345,44.576979362493255,True,0.1,1.0
Q2,initial_-1C,17.6,5.5,44.06818964454275,255.0,44.06818964454275,True,0.1,1.0
Q3,initial_-1C,19.3,6.4,44.718838393414345,265.503647014424,44.718838393414345,True,0.1,1.0
Q2,initial_+1C,17.6,5.5,44.08507169974092,331.0,44.08507169974092,False,0.1,1.0
Q3,initial_+1C,19.3,6.4,44.85124219157838,322.7974852059284,44.85124219157838,False,0.1,1.0
Q2,environment_-1C,17.6,5.5,43.82389386242227,0.0,43.82389386242227,True,0.1,1.0
Q3,environment_-1C,19.3,6.4,44.60399284383327,237.63919836645402,44.60399284383327,True,0.1,1.0
Q2,environment_+1C,17.6,5.5,44.32936748186132,871.8418757306196,44.32936748186132,False,0.1,1.0
Q3,environment_+1C,19.3,6.4,44.96608774115944,344.47332677738143,44.96608774115944,False,0.1,1.0
Q2,manufacturing_-0.1mm,17.5,5.4,44.143862446301554,497.0,44.143862446301554,False,0.1,1.0
Q3,manufacturing_-0.1mm,19.2,6.300000000000001,44.8826326115487,324.9160864125143,44.8826326115487,False,0.1,1.0
Q2,joint_adverse_10%,17.5,5.4,45.36523387646095,1959.2859899847376,45.36523387646095,False,0.1,1.0
Q3,joint_adverse_10%,19.2,6.300000000000001,46.59800528133627,724.2829740392989,46.59800528133627,False,0.1,1.0
Q2,joint_stress_20%,17.5,5.4,46.09856438932272,2243.6481918966665,46.09856438932272,False,0.1,1.0
Q3,joint_stress_20%,19.2,6.300000000000001,47.51034284631626,842.4728943262242,47.51034284631626,False,0.1,1.0
